;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Hóspedes não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Non-resident guests in tourist accommodation establishments, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Espanha;Alemanha;França;Países Baixos;EUA;Itália;Brasil;Polónia;Bélgica;Irlanda;Suíça;Dinamarca;Suécia;Áustria;Chéquia;Roménia;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;465.408;69.716;71.094;54.995;48.096;22.870;13.071;18.247;36.419;5.038;9.989;7.203;8.055;7.569;8.773;3.679;1.437;1.655;77.502;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;668.371;99.440;106.486;99.660;63.027;30.982;25.918;25.123;32.737;6.713;13.425;9.431;13.200;11.502;15.154;8.486;1.754;2.549;102.784;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;967.708;144.276;155.144;121.694;112.061;41.567;41.706;36.843;48.677;11.717;26.321;20.738;23.839;10.796;19.050;11.437;3.078;3.502;135.262;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.189.868;207.360;120.919;138.901;165.321;63.919;55.090;43.985;71.728;16.493;31.462;34.501;23.918;7.411;13.289;14.540;4.563;5.788;170.680;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.150.202;220.270;126.967;127.899;134.617;56.867;54.576;42.518;57.595;25.160;28.617;39.866;21.399;7.914;10.836;10.515;4.897;4.600;175.089;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.252.245;212.297;200.769;100.851;127.916;68.702;51.600;51.054;63.655;30.452;43.965;37.235;30.502;14.344;15.052;11.078;5.190;5.601;181.982;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.418.908;199.030;311.996;121.249;211.969;60.390;43.206;96.318;49.164;28.135;31.941;33.288;22.254;7.385;9.286;10.276;4.250;6.672;172.099;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.324.145;242.486;154.360;158.691;148.527;60.957;64.213;50.304;64.378;33.270;34.570;37.235;28.359;12.052;15.824;11.588;5.559;5.279;196.493;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;1.141.092;208.199;145.592;140.491;114.506;50.951;57.889;38.323;65.219;17.512;20.265;28.053;26.092;12.237;21.131;8.452;4.320;3.504;178.356;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;578.392;79.544;89.424;70.451;55.321;22.753;28.942;23.518;31.024;8.037;15.349;8.480;10.932;6.003;13.530;3.778;2.248;2.524;106.534;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;477.772;55.711;115.594;44.158;46.080;15.874;18.597;26.451;29.215;5.444;8.087;4.776;7.548;4.185;7.283;2.739;1.138;2.407;82.485;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;12.531.006;1.992.033;1.820.213;1.359.622;1.498.595;600.906;563.554;536.316;682.664;222.497;301.129;303.318;264.595;126.510;162.421;119.487;47.811;48.322;1.881.013;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;455.348;62.702;69.369;43.697;44.088;18.422;15.069;26.199;39.054;7.277;8.109;5.747;7.093;5.871;6.522;2.796;1.389;2.099;89.845;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;553.739;84.347;91.569;63.560;55.751;26.545;17.454;22.129;35.401;8.147;10.349;7.483;10.409;8.952;9.162;4.076;1.723;2.073;94.609;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;831.117;122.244;177.811;115.662;68.338;32.460;31.023;31.363;30.733;8.453;17.867;13.278;15.267;12.850;15.735;7.608;2.644;2.482;125.299;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;1.024.164;168.398;113.810;123.125;139.483;53.615;47.076;41.856;45.449;13.398;24.407;24.226;24.815;12.943;19.069;12.436;4.457;2.703;152.898;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;1.319.243;229.798;137.202;156.118;189.801;74.727;64.036;43.864;69.035;18.785;33.518;38.244;28.252;11.095;14.170;15.498;5.490;3.455;186.155;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;1.292.068;240.346;141.024;140.109;167.818;68.084;65.273;50.157;59.945;30.392;31.761;43.693;25.511;8.922;12.473;12.324;5.889;5.399;182.948;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;1.438.565;236.274;238.915;116.347;158.477;73.875;66.411;56.723;64.881;33.627;50.995;43.670;35.452;17.037;17.088;13.880;6.583;6.068;202.262;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;1.578.727;219.416;332.079;133.414;230.838;77.477;52.755;110.825;56.142;31.923;35.217;37.277;28.570;9.332;11.068;13.423;4.734;6.640;187.597;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;1.460.061;246.644;166.159;173.255;175.703;71.356;76.373;50.993;81.844;33.600;38.296;39.809;33.304;13.652;15.395;14.499;6.499;6.000;216.680;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;1.313.604;222.304;145.108;166.350;144.756;56.548;68.238;43.467;90.913;20.056;23.924;32.527;33.311;12.963;20.160;13.230;4.516;4.752;210.481;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
