;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Dormidas de não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Overnight stays in tourist accommodation establishments by non-residents, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Alemanha;Espanha;França;Países Baixos;Brasil;Itália;EUA;Bélgica;Suiça;Polónia;Canadá;Suécia;Irlanda;Dinamarca;Rússia;China;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;2 263 594;449 486;430 303;223 270;180 305;150 782;79 521;66 571;63 755;40 471;42 378;22 673;53 671;74 285;31 367;55 316;16 029;16 199;267 212;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;3 056 244;624 698;476 555;342 129;330 980;166 348;112 302;87 589;93 780;90 508;75 319;34 788;31 839;76 973;85 703;44 101;19 440;22 420;340 772;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;3 742 844;921 522;537 776;251 454;455 862;263 101;162 887;100 076;120 826;100 841;68 711;50 266;45 635;45 693;151 548;25 008;29 067;27 648;384 923;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;3 849 390;1 037 567;521 127;296 565;379 331;242 858;131 824;102 556;120 507;99 949;63 507;84 353;44 249;37 253;212 724;27 435;33 096;30 664;383 825;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;4 553 829;1 098 348;465 927;552 557;414 547;333 125;156 711;126 885;121 710;163 492;106 431;118 075;54 527;53 562;214 891;58 120;48 205;30 604;436 112;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;4 998 650;1 084 137;541 778;902 488;683 368;279 919;114 436;234 353;99 213;113 617;69 987;105 572;45 354;31 524;176 700;26 992;53 612;29 887;405 713;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;4 317 412;1 134 012;642 343;378 448;396 515;254 333;145 930;116 112;141 310;109 820;82 323;105 281;63 213;50 705;167 910;40 465;42 602;28 359;417 731;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;3 681 927;983 482;579 058;304 910;306 535;212 293;149 081;89 877;126 702;60 121;79 696;53 063;50 507;87 342;125 460;40 824;27 002;28 846;377 128;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;1 858 958;358 790;328 421;172 297;144 237;104 190;73 622;60 186;65 716;47 663;33 261;26 370;24 063;65 258;32 039;27 266;18 869;18 177;258 533;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;1 481 417;266 096;200 057;251 465;124 535;81 515;72 517;68 578;44 616;25 904;23 394;20 369;10 753;32 623;17 920;21 466;13 566;18 639;187 404;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;41 560 536;9 530 238;5 740 765;4 318 211;4 383 404;2 675 135;1 622 644;1 305 952;1 298 089;997 975;804 024;790 313;576 653;660 024;1 441 808;529 559;311 133;329 141;4 245 468;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;1 517 538;327 241;212 737;141 316;116 503;106 175;100 050;67 370;37 900;24 744;20 986;26 619;16 089;29 094;19 750;29 607;24 229;17 346;199 782;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;1 898 189;405 159;310 964;185 619;156 384;151 492;88 264;57 026;46 162;31 244;32 290;31 311;40 252;39 913;26 305;48 234;13 906;27 003;206 661;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;2 791 009;550 995;488 652;418 248;189 015;162 620;76 452;82 280;78 493;54 271;48 741;32 128;73 083;82 524;51 151;64 459;18 510;21 521;297 866;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;3 253 333;720 077;480 647;227 289;422 170;222 923;106 280;102 177;108 829;79 357;76 152;39 648;38 598;76 791;94 454;54 186;20 494;25 602;357 659;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;4 196 669;1 034 548;615 037;279 520;537 257;300 591;157 386;101 754;142 960;114 488;81 637;57 301;50 746;50 223;184 417;37 067;23 657;28 834;399 246;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;4 319 507;1 151 024;566 144;324 286;478 979;285 549;139 439;119 077;146 742;107 951;73 354;103 259;50 152;43 691;231 356;31 494;27 717;31 898;407 395;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;5 084 893;1 191 833;526 987;628 078;500 300;339 312;159 552;139 154;157 688;186 764;117 592;135 646;62 781;60 984;240 526;70 293;39 816;32 601;494 986;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;5 531 035;1 196 518;573 517;958 846;746 198;352 175;134 272;265 455;121 840;126 405;85 372;123 068;56 441;35 902;194 987;36 507;42 491;30 658;450 383;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;4 757 008;1 187 152;691 345;401 887;495 940;290 254;183 291;117 579;166 855;124 120;94 482;118 290;80 444;52 345;188 721;44 129;40 514;27 682;451 978;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;4 235 033;1 042 702;674 950;316 630;410 650;236 283;207 504;102 192;147 348;70 916;105 212;64 081;64 278;83 355;146 540;50 706;27 156;31 655;452 875;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;2 252 529;412 116;377 904;186 039;177 341;130 626;144 677;73 705;85 114;52 786;40 948;33 300;31 138;74 605;42 700;39 361;18 878;27 313;303 978;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;1 723 793;310 873;221 881;250 453;152 667;97 135;125 477;78 183;58 158;24 929;27 258;25 662;12 651;30 597;20 901;23 516;13 765;27 028;222 659;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;46 416 850;9 765 537;6 343 279;4 602 707;4 570 210;2 698 519;2 257 950;1 557 452;1 790 959;1 024 210;886 237;1 065 882;737 938;727 583;1 602 803;612 599;429 348;455 240;5 288 397;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;1 832 604;346 907;250 672;160 629;138 850;128 695;166 269;73 785;54 682;27 545;25 285;34 693;20 181;31 459;26 585;34 070;22 415;33 245;256 637;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
